alumno,curso,contenido,nota_numerica,evaluacion
10025295,3228404816,0650,4,02
10244048,3228404816,0648,8,01
10025295,3228404816,0650,4,FI
10244048,3228404816,0650,8,FI
10414870,3228404816,0179,8,01
10802285,3228404816,0650,6,FI
10802285,3228404816,0647,5,01
10414870,3228404816,0649,9,02
13075443,3228404816,0649,4,02
10509186,3228404816,0649,9,02
10025295,3228404816,0649,3,02
12690668,3228404816,0657p,10,FI
12690668,3228404816,0651,7,02
12690668,3228404816,0648,8,02
13450442,3228404816,0651,0,02
10711948,3228404816,0650,6,01
10244048,3228404816,0648,8,FI
10509186,3228404816,0651,7,01
10509186,3228404816,0648,9,02
12332046,3228404816,0657p,8,FI
12332046,3228404816,0648,7,02
12332046,3228404816,0648,7,FI
12332046,3228404816,0649,3,02
10452196,3228404816,0651,9,02
10742998,3228404816,0179,8,01
10961892,3228404816,0650,8,FI
10906957,3228404816,0651,6,FI
10906957,3228404816,0648,6,01
10906957,3228404816,0649,5,02
10677373,3228404816,0650,7,01
10350415,3228404816,0651,8,02
10350415,3228404816,0650,7,01
10024578,3228404816,0650,9,02
13455127,3228404816,0648,9,01
10780784,3228404816,0179,7,01
10780784,3228404816,0650,8,01
10824617,3228404816,0648,7,01
10824617,3228404816,0648,8,FI
10840138,3228404816,0651,8,02
10840138,3228404816,0650,4,01
10840138,3228404816,0647,4,02
10017455,3228404816,0657p,9,02
10017455,3228404816,0657p,10,FI
10017455,3228404816,0650,10,01
13035058,3228404816,0651,7,02
13035058,3228404816,0649,3,02
10377895,3228404816,0651,0,01
10377895,3228404816,0648,0,01
10661639,3228404816,0657p,10,01
10661639,3228404816,0648,8,02
10357636,3228404816,0651,6,01
10357636,3228404816,0650,9,01
10357636,3228404816,0649,6,02
10991112,3228404816,0650,9,02
10991112,3228404816,0648,8,01
10991112,3228404816,0647,9,02
10819112,3228404816,0179,8,01
10819112,3228404816,0651,8,01
10953575,3228404816,0649,4,02
10381846,3228404816,0650,8,01
10381846,3228404816,0649,7,02
13456235,3228404816,0657p,0,01
13456235,3228404816,0179,0,01
10679695,3228404816,0179,9,01
10679695,3228404816,0648,7,01
10677900,3228404816,0650,7,01
10677900,3228404816,0648,7,FI
13476760,3228404816,0650,2,02
13064420,3228404816,0179,4,01
13060964,3228404816,0179,0,01
13060964,3228404816,0648,0,01
12332046,3228404816,0179,5,02
10961892,3228404816,0179,6,02
10802285,3228404816,0649,6,EX
12690668,3228404816,0649,10,FI
13450442,3228404816,1709,0,EX
13450442,3228404816,0657p,0,02
13455127,3228404816,0657p,10,02
13035058,3228404816,0657p,4,02
10953575,3228404816,0657p,8,02
10256435,3228404816,0657p,0,02
13450442,3228404816,0647,0,02
10357636,3228404816,0647,6,02
10953575,3228404816,0647,0,02
13060964,3228404816,0647,0,02
10509186,3228404816,0179,9,FI
10819112,3228404816,0179,8,FI
10953575,3228404816,0179,7,FI
13064420,3228404816,0179,6,FI
10256435,3228404816,0179,0,FI
10279441,3228404816,0179,9,FI
10452196,3228404816,0179,9,02
10661639,3228404816,0179,8,02
10279441,3228404816,0179,8,02
10452196,3228404816,0650,8,02
10350415,3228404816,0650,4,02
10357636,3228404816,0650,7,02
10953575,3228404816,0650,4,02
10742998,3228404816,0651,8,01
10906957,3228404816,0651,6,01
10824617,3228404816,0651,7,01
10906957,3228404816,0657p,7,02
10677373,3228404816,0657p,0,02
10024578,3228404816,0648,8,02
10991112,3228404816,0648,9,02
10677373,3228404816,0649,0,EX
10780784,3228404816,0657p,8,01
10780784,3228404816,0649,7,01
13476760,3228404816,0649,5,01
13078687,3228404816,1709,8,02
10679723,3228404816,0657p,8,FI
10824617,3228404816,0649,4,EX
10840138,3228404816,0657p,8,FI
10819112,3228404816,0647,8,01
10381846,3228404816,0647,9,01
10677900,3228404816,1709,6,01
13476760,3228404816,0657p,0,EX
13476760,3228404816,0647,1,01
13060964,3228404816,0651,0,FI
13060964,3228404816,0651,0,EX
13264942,3228404816,0657p,1,01
13264942,3228404816,0648,4,02
13264942,3228404816,0649,0,EX
10953290,3228404816,0651,8,02
10953290,3228404816,0648,8,01
10463434,3228404816,0651,2,02
10463434,3228404816,0650,0,01
10463434,3228404816,0648,0,02
11254695,3228404816,0657p,0,01
11254695,3228404816,0179,0,FI
11254695,3228404816,0648,0,01
11664368,3228404816,0648,5,01
11481642,3228404816,0657p,0,01
11481642,3228404816,0650,0,01
11889122,3228404816,0179,6,FI
11889122,3228404816,0651,7,01
11889122,3228404816,0649,7,02
11241112,3228404816,0179,7,01
11241112,3228404816,0650,7,02
11241112,3228404816,0648,8,01
10819061,3228404816,0650,9,01
10129831,3228404816,0179,4,01
10789628,3228404816,0648,5,02
10789628,3228404816,0649,6,02
10783588,3228404816,0179,7,02
10783588,3228404816,0648,9,02
10783588,3228404816,0649,7,02
13035060,3228404816,0179,8,FI
13035060,3228404816,0650,6,02
13035179,3228404816,0650,9,01
13035179,3228404816,0648,6,01
13035179,3228404816,0647,8,02
10615771,3228404816,1709,0,02
10615771,3228404816,0657p,0,FI
10279441,3228404816,0649,9,01
10677373,3228404816,0179,0,FI
10677373,3228404816,0647,0,FI
10780784,3228404816,0647,5,FI
13078687,3228404816,0648,9,FI
10953575,3228404816,0648,7,FI
11254695,3228404816,0648,0,FI
10321979,3228404816,0648,7,FI
13035058,3228404816,0647,7,FI
10381846,3228404816,0647,9,FI
10279441,3228404816,0647,8,FI
10463434,3228404816,0647,0,FI
11889122,3228404816,0647,6,FI
10129831,3228404816,0647,7,FI
10819112,3228404816,0657p,8,FI
11241112,3228404816,0657p,7,FI
10819112,3228404816,0649,9,01
10953575,3228404816,0649,7,01
11254695,3228404816,0649,0,01
10953575,3228404816,0649,6,FI
13035179,3228404816,0649,6,FI
13456235,3228404816,1709,0,01
11481642,3228404816,1709,0,01
13476760,3228404816,0651,0,EX
13064420,3228404816,0650,7,FI
10256435,3228404816,0650,4,FI
11481642,3228404816,0650,0,FI
13035179,3228404816,0650,7,FI
10953290,3228404816,0651,8,FI
13035060,3228404816,0651,6,FI
10463434,3228404816,0657p,0,EX
10463434,3228404816,0647,0,EX
11254695,3228404816,0647,0,01
11481642,3228404816,0179,0,01
10819061,3228404816,1709,8,FI
10819061,3228404816,0647,8,01
10615771,3228404816,0179,0,02
10615771,3228404816,0650,0,FI
10615771,3228404816,0647,0,02
10679722,3228404816,0657p,5,02
10679722,3228404816,0179,6,01
10679722,3228404816,0650,6,01
10679722,3228404816,0648,6,FI
11481642,3228404816,0649,0,EX
12854002,3228413080,0371,6,01
10762368,3228413080,0371,9,02
11082671,3228413080,0371,9,02
10805501,3228413080,0371,5,02
10762343,3228413080,0179,8,FI
10910600,3228413080,0179,9,FI
10805501,3228413080,0179,4,FI
10762343,3228413080,0372,9,FI
10910600,3228413080,0372,8,FI
10762343,3228413080,0369,9,01
10910600,3228413080,0370,9,02
10910600,3228413080,0373,9,02
12854002,3228413080,0373,6,02
10910600,3228413080,0369,8,02
10757735,3228413080,0369,5,02
11082671,3228413080,1709,6,02
10849397,3228413080,1709,8,01
10849397,3228413080,0179,8,02
10805501,3228413080,0370,6,02
10805501,3228413080,0373,0,EX
12854002,3228413080,0379p,7,02
10840811,3228413080,0379p,10,02
10840811,3228413080,0371,8,02
10737949,3228413080,0179,10,02
10737949,3228413080,0179,10,FI
10652371,3228413080,0371,7,01
10652371,3228413080,0371,6,02
10762023,3228413080,0179,8,02
10813139,3228413080,0371,7,01
10762338,3228413080,0379p,10,02
10762338,3228413080,0371,8,02
10762338,3228413080,0372,6,FI
10823812,3228413080,0373,8,01
12854002,3228413080,0369,7,FI
10757735,3228413080,0369,8,FI
10762023,3228413080,0369,10,FI
10762368,3228413080,0370,9,FI
10813139,3228413080,0370,7,FI
10635003,3228413080,0370,10,FI
10796295,3228413080,0370,10,01
10762343,3228413080,0370,8,01
10840811,3228413080,0370,5,01
10799789,3228413080,0370,9,01
10652371,3228413080,0370,7,01
10796295,3228413080,0371,9,FI
10737949,3228413080,0371,8,FI
11082671,3228413080,0379p,9,FI
10849397,3228413080,0179,8,01
10799789,3228413080,0179,9,01
10762023,3228413080,0179,8,01
10764453,3228413080,0179,7,01
10840811,3228413080,0379p,8,01
10652371,3228413080,0379p,8,01
10799789,3228413080,0371,9,FI
10783280,3228413080,0379p,9,FI
10762338,3228413080,0379p,9,FI
10783280,3228413080,0373,4,01
10764453,3228413080,0373,8,01
10756607,3228413080,0373,8,01
10783280,3228413080,0373,7,FI
10783280,3228413080,0369,6,EX
