alumno,curso,contenido,nota_numerica,evaluacion
12739162,3003826548,CV0004,7,FI
12739162,3003826548,0180,7,01
12708907,3003826548,CV0004,8,FI
12634107,3003826548,0176,8,FI
12708907,3003826548,0176,9,FI
12634107,3003826548,0175,7,FI
10636300,3003826548,CV0004,8,FI
11186762,3003826548,CV0004,7,FI
10304560,3003826548,0183,8,01
12739162,3003826548,0180,8,FI
12739162,3003826548,0183,5,01
12634107,3003826548,CV0004,4,01
10304560,3003826548,CV0004,8,01
10304560,3003826548,0181,9,PO
11402080,3003826548,0180,10,01
10014485,3003826548,CV0004,8,01
10014485,3003826548,CV0004,9,FI
10640379,3003826548,CV0004,8,01
10734117,3003826548,0181,4,PO
12675110,3003826548,0181,7,PO
13034970,3003826548,0180,4,01
10759106,3003826548,CV0004,9,FI
10406692,3003826548,0180,7,01
10134445,3003826548,CV0004,7,01
11402080,3003826548,0183,9,FI
10304560,3003826548,0183,8,FI
12675110,3003826548,0183,7,FI
10691401,3003826548,0180,9,FI
10691401,3003826548,0184,0,FO
11186762,3003826548,0181,2,PE
10640379,3003826548,0181,3,PE
10376639,3003826548,0181,0,PE
10357602,3003826548,0178,8,FI
10376639,3003826548,0178,2,FI
13034970,3003826548,0178,7,FI
10935906,3003826548,0178,0,FI
10406692,3003826548,0178,7,FI
10734117,3003826548,0176,8,FI
12675110,3003826548,0175,7,01
12793270,3003826548,0175,4,01
12003293,3003826548,CV0004,0,EX
10134445,3003826548,0184,0,FO
13097118,3003826548,0180,0,EX
12675110,3003826548,CV0004,5,EX
13034970,3003826548,0181,5,PE
12003293,3003826548,0176,0,EX
10134445,3003826548,0181,4,PO
12003293,3003826548,0178,0,EX
11329159,3003826548,0178,6,01
13034960,3003826548,0183,7,FI
10134445,3003826548,0183,7,FI
10615680,3003826541,0172,0,02
10615680,3003826541,0182,0,02
10615680,3003826541,0177,0,02
12475891,3003826541,0173,0,01
10392821,3003826541,0177,8,01
13171092,3003826541,0174,2,01
13263308,3003826541,0177,5,02
13240820,3003826541,0173,0,FI
13240820,3003826541,0174,4,01
13240820,3003826541,0182,5,01
11568873,3003826541,0174,8,01
10742422,3003826541,0174,6,01
11921786,3003826541,0173,8,01
11921786,3003826541,0174,5,01
13249462,3003826541,0173,8,01
10421505,3003826541,0174,0,01
10421505,3003826541,0182,1,01
10421505,3003826541,0177,0,02
10664803,3003826541,0177,6,01
10664803,3003826541,0177,0,02
10706770,3003826541,0173,7,FI
10706770,3003826541,0174,8,01
11568873,3003826541,CV0003,9,01
13263308,3003826541,0179,4,01
11568873,3003826541,0179,9,01
10421505,3003826541,0179,0,01
10615680,3003826541,0171,0,02
13263308,3003826541,CV0003,4,FI
10838901,3003826541,CV0003,4,FI
13263308,3003826541,0172,5,01
13263308,3003826541,0182,5,EX
13240820,3003826541,CV0003,4,02
10805336,3003826541,CV0003,6,02
10487908,3003826541,CV0003,8,02
10610451,3003826541,CV0003,8,02
11568873,3003826541,0171,9,02
10581335,3003826541,0171,10,02
11568873,3003826541,0172,8,01
11568873,3003826541,0172,7,02
10742422,3003826541,0171,6,01
10713910,3003826541,0171,7,01
10706770,3003826541,0171,6,01
12679099,3003826541,0179,0,02
10420918,3003826541,0179,7,02
10805336,3003826541,0179,6,FI
10713910,3003826541,0179,9,FI
10421505,3003826541,0179,9,FI
13245158,3003826541,0179,4,FI
10507995,3003826541,0179,9,01
12730900,3003826541,0179,9,01
10507995,3003826541,0173,3,02
10507995,3003826541,0174,7,02
10420918,3003826541,0174,6,02
12730900,3003826541,0174,8,02
10507995,3003826541,0174,6,FI
10507995,3003826541,0182,8,01
10838901,3003826541,0179,5,EX
10487908,3003826541,0177,6,01
10713910,3003826541,0177,7,01
10713910,3003826541,0173,7,02
10421505,3003826541,0173,1,01
13245158,3003826541,0173,3,02
10420918,3003826541,CV0003,7,02
11495548,3003826541,CV0003,0,02
10420918,3003826541,0171,8,FI
10664803,3003826541,0171,0,EX
12730900,3003826541,0173,0,EX
10849475,3003826541,0179,8,02
10849475,3003826541,0173,7,FI
13034983,3003826541,CV0003,0,01
13034983,3003826541,0174,0,02
13034983,3003826541,0182,0,01
10489725,3003826541,0173,0,01
10489725,3003826541,0173,0,EX
12870301,3003826541,0171,0,EX
12870301,3003826541,0177,0,02
13062870,3003826541,0173,0,FI
11495548,3003826541,0173,0,FI
10664803,3003826541,0173,0,FI
12870301,3003826541,0173,0,FI
12679099,3003826541,0174,0,FI
11495548,3003826541,0171,0,FI
11921786,3003826541,0182,4,FI
13249462,3003826541,0182,10,FI
11921786,3003826541,0182,8,EX
12905546,3003826541,0182,0,EX
10805336,3003826541,0174,4,FI
13245158,3003826541,0171,6,FI
10507995,3003826541,0172,5,FI
11316431,3003826541,0172,0,FI
10489725,3003826541,0172,0,FI
12905546,3003826541,0174,0,FI
11564256,3003826541,0174,0,FI
13034983,3003826541,CV0003,0,FI
13034983,3003826541,0179,0,FI
11564256,3003826541,0179,0,FI
10489725,3003826541,CV0003,0,EX
12870301,3003826541,0172,0,01
12734916,3003826611,0400,10,P1
10434284,3003826611,0398,1,FI
10496638,3003826611,0398,9,FI
10434284,3003826611,0402,0,01
10017101,3003826611,0402,7,01
10017101,3003826611,CV0004,8,FI
10420911,3003826611,CV0004,9,FI
10017101,3003826611,0399,8,FI
10428229,3003826611,0399,10,FI
10420911,3003826611,0403,0,FO
10364858,3003826611,0403,0,FO
10420911,3003826611,0399,4,01
10306049,3003826611,0400,10,PO
10274804,3003826611,0400,9,PO
10248447,3003826611,0180,10,FI
10574372,3003826611,0180,7,FI
10574372,3003826611,0397,9,FI
10495929,3003826611,CV0004,9,FI
10432798,3003826611,CV0004,8,FI
10432798,3003826611,0399,10,FI
10432798,3003826611,0397,10,FI
10810890,3003826611,0398,9,FI
10810890,3003826611,0400,10,PO
13035483,3003826611,0397,10,FI
10514706,3003826611,0400,0,PO
10506767,3003826604,0401,0,EX
10698462,3003826604,CV0003,5,EX
10513851,3003826604,0179,5,EX
10718089,3003826604,0383,4,02
10511432,3003826611,0402,8,FI
10420911,3003826611,0402,9,FI
10274804,3003826611,0402,7,FI
13055004,3003826611,0402,7,FI
11316431,3003826541,0174,0,01
10495929,3003826611,0397,9,01
10432798,3003826611,CV0004,8,01
10507538,3003826611,CV0004,0,01
10837523,3003826611,0398,4,EX
10842144,3003826611,0398,9,01
13055004,3003826611,0397,9,01
10803272,3003826604,0384,9,FI
13257485,3003826604,0384,0,FI
10837553,3003826604,0179,8,01
10700883,3003826604,0179,7,01
13242114,3003826604,0179,7,01
10506767,3003826604,0179,0,01
10677163,3003826604,0179,4,01
13127380,3003826604,0179,0,01
10837553,3003826604,0384,9,02
10699672,3003826604,0384,9,02
13242114,3003826604,0384,1,02
10282475,3003826604,0384,8,02
10837553,3003826604,0172,7,02
10700883,3003826604,0172,8,02
12468964,3003826604,0179,8,FI
12468964,3003826604,0401,7,01
10698462,3003826604,0401,8,01
12468964,3003826604,0401,7,FI
12468964,3003826604,0383,7,02
10305439,3003826604,0383,7,01
10698462,3003826604,0383,6,01
12398431,3003826604,0383,6,01
13127380,3003826604,0383,7,01
10699672,3003826604,CV0003,6,01
10282475,3003826604,CV0003,7,01
13257485,3003826604,CV0003,4,01
10699672,3003826604,0383,7,02
13242114,3003826604,0383,3,02
10506767,3003826604,0383,0,02
10700883,3003826604,0173,6,01
13242114,3003826604,0173,6,01
10778000,3003826604,0172,8,FI
10675919,3003826604,0172,8,FI
13242114,3003826604,0171,0,EX
10513851,3003826604,0171,6,EX
10506767,3003826604,CV0003,0,FI
10506767,3003826604,0401,0,02
10506767,3003826604,0171,0,02
10698462,3003826604,0171,4,02
10675919,3003826604,0171,8,02
13127380,3003826604,0171,8,02
10698462,3003826604,0171,8,01
12398431,3003826604,0384,8,01
10513851,3003826604,0384,8,01
13257485,3003826604,0173,0,EX
10411178,3003826604,0179,8,02
10513851,3003826604,0179,0,02
13127380,3003826604,0173,8,02
13288501,3003826604,0384,9,02
13257407,3003826604,CV0003,0,EX
