id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
13124409,6723b659d44b01a02097054b2df8dfc4c4070d3627be218bfed814fb9e341425,24/05/1962,M,M,3162075411,1CFMI,S
13288467,711426f3bbc28f3caca10f39f47f1816a7bbf1131884dbc191d393b0415d0000,15/08/2003,H,M,3162077551,2CFSI,D
13294635,f214106a09a8f0944e7a5c34aac1d98c913dacd99c03dc53da3e222c823cbaf8,29/01/2003,H,M,3162079957,2CFSH,D
10332148,f59d78818883360b7ca3f9fcec88737a21f2dd009682e0735976ea5aa501552f,27/12/2000,M,M,3162079993,2CFSR,S
11738860,633a34be3f4aaa3aec263924fdcf922917f2e9336478f4ed84f638d1b23b4fb4,06/11/1978,M,M,3162079713,2CFMD,S
11173156,5a7dddf91924385cca844570f240cadf7b9965b946c9c8beb00b9d8d9994321a,20/11/1990,M,M,3162075411,1CFMI,S
13156002,22781c7e8760952d618aae9b0303e79463992431582e04cdb917721d5197512f,06/05/1975,M,M,3162075411,1CFMF,D
12300236,9e6fd716f3d58aac37a72c10d888d7f8eaf8956f021431269e3015a83d6295e3,09/01/1993,H,M,3162077600,2CFSS,S
13257199,2b04e0feba2d050fefea309c04f37888f6aa5d19ac8f9b5f96466794b9e2459e,03/10/1966,H,M,3162080071,2CFSC,D
11318443,3d019aba2422a6815fa21c3ea207a99d14d576325e7d24a5e45fdb80ef480acc,03/09/1983,M,M,3162075411,1CFME,D
10517919,d9d4379451d9d00ae93268f59e194fbab65728db00c2ed30ac4d80b926ce0703,08/03/1995,M,M,3162075539,2CFSK,D
11904882,2555288843e5880dff39294ef643a58adf9a1d07583f716b34d44aec164c5a60,31/10/2002,H,M,3162079993,2CFSR,S
10382918,c3c501de867437fe681a12d5d29def3010b1b3eaf3d51fe4aea6b818bdbacd28,05/10/2001,M,M,3162075411,1CFMI,S
12491074,aeda08ee0161080449e023c0bf03bc8cf4cdc9fffd9ce4110b0195f0b8114bc4,23/05/1986,M,M,3162079790,2CFSP,S
13466647,e468d343da98f039648f8fb4d7fca318efad4fddb3083d2208e80f595bb96b6f,19/12/1988,M,M,3228379385,1CFMG,S
11567443,f17dc04668ec7e212405f55c5400207712de94edb4b7e9748330b1f395187bd7,15/10/1998,M,M,3228410748,1CFSN,S
13527455,56e1dc12268bc762b8b3d5f5be5940c8c8ba7bec08f789b6cfb946192a29c9d4,13/08/1985,H,M,3162079790,2CFSP,S
12839144,8b4db0d6c2c4448fc7f47ae43db20b8911ce3aacce066ecf07317e50826416d8,09/11/2004,H,M,3162079790,2CFSA,D
10411509,a9e73103deefa9f320d71135a628be5bd5d731e1f90724cc190100f394d21f78,21/01/1998,M,B,3228415772,1CFSO,D
10984790,7c0e34068ecf3d717bc82b41130f1cee0ef51f0b732730890d63e3c4925d96e6,16/02/1972,M,M,3162079993,2CFSR,S
10487336,1872586be8321f4344092b9acc2685033bdacaceea08e3889eafe6ca58625948,08/01/2005,H,M,3228406545,1CFSI,D
11895957,007e523d73e0b2ff1a7c3b9eb02423d3d5eaad48f88e27ec817a4036f9457376,19/04/1981,M,M,3162075418,2CFMK,D
