id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
10772056,78ff1050f16784b8d41539d9797d94d32ae7b3499fb5fb9615bc3efedb7a0eae,22/12/2005,M,M,3003822872,1CFSG,D
11763179,a3a57daf85b0b263a1cca3df11fb89cc966df6049f05f179e16168dd4e206420,06/12/1985,H,M,3003828760,1CFMD,S
11248561,3dc62e38cd673246402bda1e343c793f80870701e74fa86a67986ce8dd53ab3b,10/03/2001,M,M,3003827233,1CFMG,S
13039503,112633942b067467f25688041fc620274e339fc7016071b3611ac604946a008b,12/06/1974,M,M,3003829517,2CFMK,D
11407222,b59f6c50e54bf2590e82adfa30e9dc75ecb7254f677d98c8f8099a37023f74a1,29/07/1988,H,M,3003828760,1CFMD,S
10781254,ddeee30536feeff2ce5d4415aae53d630a88e3aa7ced90f4e5269c837a561f0f,03/09/2003,H,M,3003829629,1CFSF,D
11329159,02e799d602cc1b11d46cfeebed3c88e0ca12161c9abec758836bb8113a4e51ed,08/09/2000,H,M,3003826548,2CFSJ,D
10593808,ba38fdece140968d049bcb33ca4df5a1528417f98af43544f4ac5b985d40eb77,09/05/2002,M,M,3003829510,1CFMI,S
10718081,ccd5484db016ffa503274e94c809b6eeb7df14662dbff88ac51ce07de2d08c64,28/06/2004,H,M,3003822449,1CFSB,D
10201417,657d0f3ed7adbc0bbe2c71edb538899401cb982e84ed2f80f8548f50366205ba,17/09/1999,M,M,3003828795,1CFSH,D
10014485,2486b5f9d26f12a3b4fdb59e64923e7d854c01c3fdfa5b288a214b998389a08e,02/03/2004,M,M,3003826548,2CFSJ,D
12003293,539ff9fd8b8254e331d16710d59e38015fde750d3b147ffc0d53722bdb2d2ad5,23/12/1991,M,M,3003826548,2CFSM,S
10211605,c6ec7ea667f98e7621b0d08659a44aba15d8764ca9cd088912811b9900ba45e5,23/08/1996,H,M,3003822456,2CFSO,S
10750448,3e536407a5ad181989a5223a8e23ef976a627123063f2e618a1a379efd7cc302,06/09/1986,H,M,3003828795,1CFSL,S
10281379,99ac4683690eb9951084906479f6a4ce30e5cd64a606000da6c2644f220927bc,24/10/2000,M,M,3003822456,2CFSB,D
10586308,3eeed0a25da1a04bba78f8c0f28994177fc1e9a9b6297d74356298fb07c3be7b,04/12/2002,M,M,3003828900,2CFSC,D
13248573,2c486412ddbd1a30e7f3e00aaad899fa62f084602f2e0858462730a98bdbc206,06/05/1986,M,B,3003829510,1CFMI,S
