anyo,codigo,nombre_cas,curso
2025_26,0156,Inglés profesional GM,3306169593
2025_26,TU01CF,Tutoría Primero,3306169607
2025_26,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3306169607
2025_26,0225,Redes locales,3306169607
2025_26,0223,Aplicaciones ofimáticas,3306169607
2025_26,0221,Montaje y mantenimiento de equipos,3306169607
2025_26,0229,Formación y orientación laboral,3306169607
2025_26,0222,Sistemas operativos monopuesto,3306169607
2025_26,TU02CF,Tutoría Segundo,3306169614
2025_26,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3306169614
2025_26,0230,Empresa e iniciativa emprendedora,3306169614
2025_26,0228,Aplicaciones web,3306169614
2025_26,0226,Seguridad informática,3306169614
2025_26,0224,Sistemas operativos en red,3306169614
2025_26,0231,Formación en Centros de Trabajo,3306169614
2025_26,0227,Servicios en red,3306169614
2025_26,1665190,Digitalización aplicada al sistema productivo GS,3306169635
2025_26,1708190,Sostenibilidad aplicada al sistema productivo,3306169635
2025_26,CVOPT,Módulo optativo,3306169635
2025_26,0492s,Proyecto intermodular 2 de Desarrollo de aplicaciones multiplataforma,3306169635
2025_26,TU02CF,Tutoría Segundo,3306169635
2025_26,0491,Sistemas de gestión empresarial,3306169635
2025_26,0490,Programación de servicios y procesos,3306169635
2025_26,0489,Programación multimedia y dispositivos móviles,3306169635
2025_26,0488,Desarrollo de interfaces,3306169635
2025_26,0486,Acceso a datos,3306169635
2025_26,1710,Itinerario personal para la empleabilidad II,3306169635
2025_26,1709,Itinerario personal para la empleabilidad I,3306169637
2025_26,0492p,Proyecto intermodular 1 de Desarrollo de aplicaciones multiplataforma,3306169637
2025_26,TU01CF,Tutoría Primero,3306169637
2025_26,0179,Inglés profesional GS,3306169637
2025_26,0373,Lenguajes de marcas y sistemas de gestión de información,3306169637
2025_26,0487,Entornos de desarrollo,3306169637
2025_26,0485,Programación,3306169637
2025_26,0484,Bases de Datos,3306169637
2025_26,0483,Sistemas informáticos,3306169637
2025_26,1709,Itinerario personal para la empleabilidad I,3306169651
2025_26,0616p,Proyecto intermodular 1 de Desarrollo de aplicaciones WEB,3306169651
2025_26,TU01CF,Tutoría Primero,3306169651
2025_26,0179,Inglés profesional GS,3306169651
2025_26,0373,Lenguajes de marcas y sistemas de gestión de información,3306169651
2025_26,0487,Entornos de desarrollo,3306169651
2025_26,0485,Programación,3306169651
2025_26,0484,Bases de Datos,3306169651
2025_26,0483,Sistemas informáticos,3306169651
2025_26,1665190,Digitalización aplicada al sistema productivo GS,3306169658
2025_26,1708190,Sostenibilidad aplicada al sistema productivo,3306169658
2025_26,CVOPT,Módulo optativo,3306169658
2025_26,0616s,Proyecto intermodular 2 de Desarrollo de aplicaciones WEB,3306169658
2025_26,TU02CF,Tutoría Segundo,3306169658
2025_26,0615,Diseño de interfaces WEB,3306169658
2025_26,0614,Despliegue de aplicaciones WEB,3306169658
2025_26,0613,Desarrollo WEB en entorno servidor,3306169658
2025_26,0612,Desarrollo WEB en entorno cliente,3306169658
2025_26,1710,Itinerario personal para la empleabilidad II,3306169658
2025_26,TU02CF,Tutoría Segundo,3306169667
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306169667
2025_26,0619,Formación en centros de trabajo,3306169667
2025_26,0616,Proyecto de Desarrollo de aplicaciones WEB,3306169667
2025_26,0618,Empresa e iniciativa emprendedora,3306169667
2025_26,0615,Diseño de interfaces WEB,3306169667
2025_26,0614,Despliegue de aplicaciones WEB,3306169667
2025_26,0613,Desarrollo WEB en entorno servidor,3306169667
2025_26,0612,Desarrollo WEB en entorno cliente,3306169667
2025_26,TU01CF,Tutoría Primero,3306169674
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306169674
2025_26,0373,Lenguajes de marcas y sistemas de gestión de información,3306169674
2025_26,0487,Entornos de desarrollo,3306169674
2025_26,0485,Programación,3306169674
2025_26,0484,Bases de Datos,3306169674
2025_26,0483,Sistemas informáticos,3306169674
2025_26,0617,Formación y orientación laboral,3306169674
