id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
10042816,fb488b9b13895c8cc78fc45576fa7760326f148c9a404bebb4bb40cff7cb6598,27/12/2000,M,M,3306172165,2CFS_MPS,S
13364778,91f326266968d5ed26cc290d419208ea53bf9685d09424b248c59fbcc7b3ca45,16/07/1984,M,M,3306170528,2CFM_CAEA,D
12690668,40bf99870a7d0f445c72097f49dff9d139b757388fc618fe98e11228728a42cd,11/06/2004,H,M,3306174046,2CFS_AFS,S
10611327,e9c53c2535c34336ec555100a668dabf3a30ad94d76251e7cfcbe9e9cb59dba9,09/01/2004,H,M,3306169730,2CFSC,D
10660627,c98109e7049a169bfe92e892e47fed6d5857583539cc38c36d3e6acfb48ed12f,20/04/2004,H,M,3306169433,1CFSG,D
10672707,18e34a6e7de0fbaf904f5df01c703f8a224fdf333ac692e2cd6d3b819baac5d3,29/01/2004,H,M,3315804631,1CES_IABD,D
11407770,a6c79bb2535884a33b4ca425e1ce8311f6ab63f87471035fe2fc6b7c482cd678,03/01/1981,H,M,3315802123,1CES_CIBS,S
12379379,18612f89d3cb5211af04613d6871ddfdbf69fbaefcaccefc4f3e8ffb649ca733,28/04/1987,H,M,3306170521,1CFM_CAEA,D
10122344,2e961674c8c0cd7c62ae3f6034d74dae4aaa51887c788e9d66b3a33bc32d9bd6,12/11/1996,M,M,3306170617,2CFS_LCBB,D
11415744,d8f326b065529dd44105294b42d3eb3c3d4d28e8bea2436c066ba8c6d501e4f0,21/05/1990,M,M,3306173995,2CFM_GAS,S
10284028,477b0c2ed3160a3cf87b1da174590241056c8009e8d925ea62616cf05e88cec9,08/08/2000,M,B,3306170521,1CFM_CAES,S
12691602,f914d32d4959884fc5a548ca01bf8c8917ea29339274bd9f9153c316597b29ba,13/04/1975,M,M,3306170521,1CFM_CAES,S
10694675,80c5b6c64f766c7cc963e6d6734c4c42be5439b8b23e0d9bbea658ec4a6321b0,09/04/2004,H,M,3306169433,1CFSG,D
13593119,ce76cbcd85818b42a495c4917e6d158df1b655844cc1a41c170bad409b821f00,16/10/1975,M,M,3306172484,1CFS_GATS,S
