codigo,nombre_cas,curso
0492,Proyecto de desarrollo de aplicaciones multiplataforma,3162079993
0494,Empresa e iniciativa emprendedora,3162079993
0491,Sistemas de gestión empresarial,3162079993
0490,Programación de servicios y procesos,3162079993
0489,Programación multimedia y dispositivos móviles,3162079993
0488,Desarrollo de interfaces,3162079993
0486,Acceso a datos,3162079993
1709,Itinerario personal para la empleabilidad I,3228406931
1012p,Proyecto intermodular 1 de Marketing y publicidad,3228406931
TU01CF,Tutoría Primero,3228406931
0179,Inglés profesional GS,3228406931
0623,Gestión económica y financiera de la empresa,3228406931
0930,Políticas de marketing,3228406931
0931,Marketing digital,3228406931
1010,Investigación comercial,3228406931
TU01CF,Tutoría Primero,3162078584
243265,Diseño y Fabr. Monturas Ópticas,3162078584
243267,"Anat., Fisiopatol. y Ametropias Oculares",3162078584
243266,At. Cliente Establ. Prod. Ópticos,3162078584
243264,Proc. Fabr. Lentes Oftalmológicas,3162078584
TU02CF,Tutoría Segundo,3162078591
243602,Formación y Orientación Laboral,3162078591
243601,Formación en Centros de Trabajo,3162078591
243604,"Adm., Gest. y Comer. Peq. Empresa",3162078591
243271,Montajes y Reparaciones Ópticas,3162078591
243270,Proc. Fabr. Lentes de Contacto,3162078591
TU01CF,Tutoría Primero,3162080064
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162080064
0370,Planificación y Administración de Redes,3162080064
0373,Lenguajes de marcas y sistemas de gestión de información,3162080064
0371,Fundamentos de Hardware,3162080064
0372,Gestión de Bases de Datos,3162080064
0380,Formación y orientación laboral,3162080064
0369,Implantación de Sistemas Operativos,3162080064
TU02CF,Tutoría Segundo,3162080071
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162080071
0381,Empresa e Iniciativa emprendedora,3162080071
0379,Proyecto de Administración de Sistemas Informáticos en Red,3162080071
0378,Seguridad y Alta Disponibilidad,3162080071
0375,Servicios de Red e Internet,3162080071
0382,Formación en Centros de Trabajo,3162080071
0377,Administración de Sistemas Gestores de Bases de Datos,3162080071
0376,Implantación de Aplicaciones Web,3162080071
0374,Administración de Sistemas Operativos,3162080071
TU01CF,Tutoría Primero,3162075411
028502,Técnicas básicas de enfermería,3162075411
028504,Promoción de la salud y apoyo psicológico al paciente,3162075411
028505,Técnicas de ayuda odontológica/estomatológica,3162075411
028001,Formación y orientación laboral,3162075411
028503,Higiene del medio hospitalario y limpieza de material,3162075411
028501,Operaciones administrativas y documentación sanitaria,3162075411
028100,Relaciones en el equipo de trabajo,3162075411
TU02CF,Tutoría Segundo,3162075418
028601,Formación en Centros de Trabajo,3162075418
TU01CF,Tutoría Primero,3162075532
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162075532
1370,Fisiopatología general,3162075532
1367,Gestión de muestras biológicas,3162075532
1368,Técnicas generales de laboratorio,3162075532
1369,Biología molecular y citogenética,3162075532
1376,Formación y orientación laboral,3162075532
TU02CF,Tutoría Segundo,3162075539
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162075539
1375,Proyecto de laboratorio clínico y biomédico,3162075539
1378,Formación en centros de trabajo,3162075539
1371,Análisis bioquímico,3162075539
1372,Técnicas de inmunodiagnóstico,3162075539
1373,Microbiología clínica,3162075539
1374,Técnicas de análisis hematológico,3162075539
1377,Empresa e iniciativa emprendedora,3162075539
TU01CF,Tutoría Primero,3162077481
CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3162077481
0156,Inglés profesional GM,3162077481
1226,Marketing en la actividad comercial,3162077481
1229,Gestión de compras,3162077481
1231,Dinamización del punto de venta,3162077481
1232,Procesos de venta,3162077481
1233,Aplicaciones informáticas para el comercio,3162077481
1236,Formación y orientación laboral,3162077481
TU02CF,Tutoría Segundo,3162077488
CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3162077488
1227,Gestión de un pequeño comercio,3162077488
1228,Técnicas de almacén,3162077488
1230,Venta técnica,3162077488
1234,Servicios de atención comercial,3162077488
1235,Comercio electrónico,3162077488
1237,Formación en centros de trabajo,3162077488
TU02CF,Tutoría Segundo,3162077551
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162077551
0825,Financiación internacional,3162077551
0823,Marketing internacional,3162077551
0827,Comercio digital internacional,3162077551
0822,Sistema de información de mercados,3162077551
0824,Negociación internacional,3162077551
0830,Formación en Centros de Trabajo,3162077551
0826,Medios de pago internacionales,3162077551
0828,Proyecto de comercio internacional,3162077551
CV0010,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,3162077551
TU01CF,Tutoría Primero,3162077558
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162077558
0179,Inglés profesional GS,3162077558
0622,Transporte internacional de mercancías,3162077558
0829,Formación y orientación laboral.,3162077558
0625,Logística de almacenamiento,3162077558
0623,Gestión económica y financiera de la empresa,3162077558
0627,Gestión administrativa del comercio internacional,3162077558
CV0008,Ofimática y proceso de la información en el comercio internacional,3162077558
CV0009,Gestión portuaria,3162077558
TU01CF,Tutoría Primero,3162076028
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162076028
0179,Inglés profesional GS,3162076028
0171,Estructura del mercado turístico,3162076028
0172,Protocolo y relaciones públicas,3162076028
0173,Marketing turístico,3162076028
0174,Dirección de alojamientos turístico,3162076028
0182,Formación y orientación laboral,3162076028
0177,Recursos humanos en el alojamiento,3162076028
TU01CF,Tutoría Primero,3162077593
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162077593
0179,Inglés profesional GS,3162077593
0623,Gestión económica y financiera de la empresa,3162077593
0930,Políticas de marketing,3162077593
0931,Marketing digital,3162077593
1010,Investigación comercial,3162077593
1014,Formación y orientación laboral,3162077593
TU02CF,Tutoría Segundo,3162077600
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162077600
1007,Diseño y elaboración de material de comunicación,3162077600
1008,Medios y soportes de comunicación,3162077600
1009,Relaciones públicas y organización de eventos de marketing,3162077600
1011,Trabajo de campo en la investigación comercial,3162077600
1109,Lanzamiento de productos y servicios,3162077600
1110,"Atención al cliente, consumidor y usuario",3162077600
1012,Proyecto de marketing y publicidad,3162077600
1013,Formación en centros de trabajo,3162077600
TU02CF,Tutoría Segundo,3162076035
