anyo,nombre_cas,codigo,curso
2023,Tutoría Primero,TU01CF,3003829510
2023,Técnicas básicas de enfermería,028502,3003829510
2023,Promoción de la salud y apoyo psicológico al paciente,028504,3003829510
2023,Técnicas de ayuda odontológica/estomatológica,028505,3003829510
2023,Formación y orientación laboral,028001,3003829510
2023,Higiene del medio hospitalario y limpieza de material,028503,3003829510
2023,Operaciones administrativas y documentación sanitaria,028501,3003829510
2023,Relaciones en el equipo de trabajo,028100,3003829510
2023,Tutoría Segundo,TU02CF,3003829517
2023,Formación en Centros de Trabajo,028601,3003829517
2023,Tutoría Primero,TU01CF,3003829629
2023,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3003829629
2023,Fisiopatología general,1370,3003829629
2023,Gestión de muestras biológicas,1367,3003829629
2023,Técnicas generales de laboratorio,1368,3003829629
2023,Biología molecular y citogenética,1369,3003829629
2023,Formación y orientación laboral,1376,3003829629
2023,Tutoría Segundo,TU02CF,3003829636
2023,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3003829636
2023,Proyecto de laboratorio clínico y biomédico,1375,3003829636
2023,Formación en centros de trabajo,1378,3003829636
2023,Análisis bioquímico,1371,3003829636
2023,Técnicas de inmunodiagnóstico,1372,3003829636
2023,Microbiología clínica,1373,3003829636
2023,Técnicas de análisis hematológico,1374,3003829636
2023,Empresa e iniciativa emprendedora,1377,3003829636
2023,Tutoría Primero,TU01CF,3003826541
2023,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3003826541
2023,Inglés,0179,3003826541
2023,Estructura del mercado turístico,0171,3003826541
2023,Protocolo y relaciones públicas,0172,3003826541
2023,Marketing turístico,0173,3003826541
2023,Dirección de alojamientos turístico,0174,3003826541
2023,Formación y orientación laboral,0182,3003826541
2023,Recursos humanos en el alojamiento,0177,3003826541
2023,Tutoría Segundo,TU02CF,3003826548
2023,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3003826548
2023,Segunda lengua extranjera,0180,3003826548
2023,Proyecto de gestión de alojamientos turísticos,0181,3003826548
2023,Formación en Centros de Trabajo,0184,3003826548
2023,Empresa e iniciativa emprendedora ,0183,3003826548
2023,Recepción y reservas,0176,3003826548
2023,Comercialización de eventos,0178,3003826548
2023,Gestión del departamento de pisos,0175,3003826548
2023,Tutoría Primero,TU01CF,3003826604
2023,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3003826604
2023,Inglés,0179,3003826604
2023,Formación y Orientación Laboral,0401,3003826604
2023,Estructura del mercado turístico,0171,3003826604
2023,Destinos turísticos ,0383,3003826604
2023,Recursos turísticos ,0384,3003826604
2023,Protocolo y relaciones públicas,0172,3003826604
2023,Marketing turístico,0173,3003826604
2023,Tutoría Segundo,TU02CF,3003826611
2023,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3003826611
2023,Venta de servicios turísticos,0398,3003826611
2023,Segunda lengua extranjera,0180,3003826611
2023,Formación en Centros de Trabajo,0403,3003826611
2023,Proyecto de Agencias de viajes ,0400,3003826611
2023,Empresa e iniciativa emprendedora,0402,3003826611
2023,Dirección de entidades de intermedi,0399,3003826611
2023,Gestión de productos turísticos,0397,3003826611
2023,Tutoría Primero,TU01CF,3003826625
2023,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3003826625
2023,Inglés,0179,3003826625
2023,Estructura del mercado turístico,0171,3003826625
2023,Destinos turísticos ,0383,3003826625
2023,Recursos turísticos ,0384,3003826625
2023,Protocolo y relaciones públicas,0172,3003826625
2023,Marketing turístico,0173,3003826625
2023,Formación y orientación laboral ,0389,3003826625
2023,Tutoría Segundo,TU02CF,3003826632
2023,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3003826632
2023,Segunda lengua extranjera,0180,3003826632
2023,Servicios de información turística,0385,3003826632
2023,"Proyecto de guía, información",0388,3003826632
2023,Empresa e iniciativa emprendedora,0390,3003826632
2023,Formación en Centros de Trabajo,0391,3003826632
2023,Diseño de productos turísticos,0387,3003826632
2023,Procesos de guía y asistencia ,0386,3003826632
2023,Tutoría Primero,TU01CF,3003822337
2023,Inglés Técnico I-M / Horario reservado para la docencia en inglés,CV0001,3003822337
2023,Inglés,0156,3003822337
2023,Marketing en la actividad comercial,1226,3003822337
2023,Gestión de compras,1229,3003822337
2023,Dinamización del punto de venta,1231,3003822337
2023,Procesos de venta,1232,3003822337
2023,Aplicaciones informáticas para el comercio,1233,3003822337
2023,Formación y orientación laboral,1236,3003822337
2023,Tutoría Segundo,TU02CF,3003822344
2023,Inglés Técnico II-M / Horario reservado para la docencia en inglés,CV0002,3003822344
2023,Gestión de un pequeño comercio,1227,3003822344
2023,Técnicas de almacén,1228,3003822344
2023,Venta técnica,1230,3003822344
2023,Servicios de atención comercial,1234,3003822344
2023,Comercio electrónico,1235,3003822344
2023,Formación en centros de trabajo,1237,3003822344
2023,Tutoría Segundo,TU02CF,3003822407
2023,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3003822407
2023,Financiación internacional,0825,3003822407
2023,Marketing internacional,0823,3003822407
2023,Comercio digital internacional,0827,3003822407
2023,Sistema de información de mercados,0822,3003822407
2023,Negociación internacional,0824,3003822407
2023,Formación en Centros de Trabajo,0830,3003822407
2023,Medios de pago internacionales,0826,3003822407
2023,Proyecto de comercio internacional,0828,3003822407
2023,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,CV0010,3003822407
2023,Tutoría Primero,TU01CF,3003822414
2023,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3003822414
2023,Inglés,0179,3003822414
2023,Transporte internacional de mercancías,0622,3003822414
2023,Formación y orientación laboral.,0829,3003822414
2023,Logística de almacenamiento,0625,3003822414
2023,Gestión económica y financiera de la empresa,0623,3003822414
2023,Gestión administrativa del comercio internacional,0627,3003822414
2023,Ofimática y proceso de la información en el comercio internacional,CV0008,3003822414
2023,Gestión portuaria,CV0009,3003822414
2023,Tutoría Primero,TU01CF,3003822449
2023,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3003822449
2023,Inglés,0179,3003822449
2023,Gestión económica y financiera de la empresa,0623,3003822449
2023,Políticas de marketing,0930,3003822449
2023,Marketing digital,0931,3003822449
2023,Investigación comercial,1010,3003822449
2023,Formación y orientación laboral,1014,3003822449
