anyo,alumno,curso,contenido,nota_numerica
2023,12739162,3003826548,CV0004,7
2023,12739162,3003826548,0180,7
2023,12708907,3003826548,CV0004,8
2023,12634107,3003826548,0176,8
2023,12708907,3003826548,0176,9
2023,12634107,3003826548,0175,7
2023,10636300,3003826548,CV0004,8
2023,11186762,3003826548,CV0004,7
2023,10304560,3003826548,0183,8
2023,12739162,3003826548,0180,8
2023,12739162,3003826548,0183,5
2023,12634107,3003826548,CV0004,4
2023,10304560,3003826548,CV0004,8
2023,10304560,3003826548,0181,9
2023,11402080,3003826548,0180,10
2023,10014485,3003826548,CV0004,8
2023,10014485,3003826548,CV0004,9
2023,10640379,3003826548,CV0004,8
2023,10734117,3003826548,0181,4
2023,12675110,3003826548,0181,7
2023,13034970,3003826548,0180,4
2023,10759106,3003826548,CV0004,9
2023,10406692,3003826548,0180,7
2023,10134445,3003826548,CV0004,7
2023,11402080,3003826548,0183,9
2023,10304560,3003826548,0183,8
2023,12675110,3003826548,0183,7
2023,10691401,3003826548,0180,9
2023,10691401,3003826548,0184,0
2023,11186762,3003826548,0181,2
2023,10640379,3003826548,0181,3
2023,10376639,3003826548,0181,0
2023,10357602,3003826548,0178,8
2023,10376639,3003826548,0178,2
2023,13034970,3003826548,0178,7
2023,10935906,3003826548,0178,0
2023,10406692,3003826548,0178,7
2023,10734117,3003826548,0176,8
2023,12675110,3003826548,0175,7
2023,12793270,3003826548,0175,4
2023,12003293,3003826548,CV0004,0
2023,10134445,3003826548,0184,0
2023,13097118,3003826548,0180,0
2023,12675110,3003826548,CV0004,5
2023,13034970,3003826548,0181,5
2023,12003293,3003826548,0176,0
2023,10134445,3003826548,0181,4
2023,12003293,3003826548,0178,0
2023,11329159,3003826548,0178,6
2023,13034960,3003826548,0183,7
2023,10134445,3003826548,0183,7
2023,13263308,3003826541,0177,5
2023,13240820,3003826541,0173,0
2023,13240820,3003826541,0174,4
2023,13240820,3003826541,0182,5
2023,11568873,3003826541,0174,8
2023,10742422,3003826541,0174,6
2023,11921786,3003826541,0173,8
2023,11921786,3003826541,0174,5
2023,13249462,3003826541,0173,8
2023,10421505,3003826541,0174,0
2023,10421505,3003826541,0182,1
2023,10421505,3003826541,0177,0
2023,10664803,3003826541,0177,6
2023,10664803,3003826541,0177,0
2023,10706770,3003826541,0173,7
2023,10706770,3003826541,0174,8
2023,11568873,3003826541,CV0003,9
2023,13263308,3003826541,0179,4
2023,11568873,3003826541,0179,9
2023,10421505,3003826541,0179,0
2023,13263308,3003826541,CV0003,4
2023,10838901,3003826541,CV0003,4
2023,13263308,3003826541,0172,5
2023,13263308,3003826541,0182,5
2023,13240820,3003826541,CV0003,4
2023,10805336,3003826541,CV0003,6
2023,10487908,3003826541,CV0003,8
2023,10610451,3003826541,CV0003,8
2023,11568873,3003826541,0171,9
2023,10581335,3003826541,0171,10
2023,11568873,3003826541,0172,8
2023,11568873,3003826541,0172,7
2023,10742422,3003826541,0171,6
2023,10713910,3003826541,0171,7
2023,10706770,3003826541,0171,6
2023,12679099,3003826541,0179,0
2023,10420918,3003826541,0179,7
2023,10805336,3003826541,0179,6
2023,10713910,3003826541,0179,9
2023,10421505,3003826541,0179,9
2023,13245158,3003826541,0179,4
2023,10507995,3003826541,0179,9
2023,12730900,3003826541,0179,9
2023,10507995,3003826541,0173,3
2023,10507995,3003826541,0174,7
2023,10420918,3003826541,0174,6
2023,12730900,3003826541,0174,8
2023,10507995,3003826541,0174,6
2023,10507995,3003826541,0182,8
2023,10838901,3003826541,0179,5
2023,10487908,3003826541,0177,6
2023,10713910,3003826541,0177,7
2023,10713910,3003826541,0173,7
2023,10421505,3003826541,0173,1
2023,13245158,3003826541,0173,3
2023,10420918,3003826541,CV0003,7
2023,11495548,3003826541,CV0003,0
2023,10420918,3003826541,0171,8
2023,10664803,3003826541,0171,0
2023,12730900,3003826541,0173,0
2023,10849475,3003826541,0179,8
2023,10849475,3003826541,0173,7
2023,13034983,3003826541,CV0003,0
2023,13034983,3003826541,0174,0
2023,13034983,3003826541,0182,0
2023,10489725,3003826541,0173,0
2023,10489725,3003826541,0173,0
2023,12870301,3003826541,0171,0
2023,12870301,3003826541,0177,0
2023,13062870,3003826541,0173,0
2023,11495548,3003826541,0173,0
2023,10664803,3003826541,0173,0
2023,12870301,3003826541,0173,0
2023,12679099,3003826541,0174,0
2023,11495548,3003826541,0171,0
2023,11921786,3003826541,0182,4
2023,13249462,3003826541,0182,10
2023,11921786,3003826541,0182,8
2023,12905546,3003826541,0182,0
2023,10805336,3003826541,0174,4
2023,13245158,3003826541,0171,6
2023,10507995,3003826541,0172,5
2023,11316431,3003826541,0172,0
2023,10489725,3003826541,0172,0
2023,12905546,3003826541,0174,0
2023,11564256,3003826541,0174,0
2023,13034983,3003826541,CV0003,0
2023,13034983,3003826541,0179,0
2023,11564256,3003826541,0179,0
2023,10489725,3003826541,CV0003,0
2023,12870301,3003826541,0172,0
2023,12734916,3003826611,0400,10
2023,10434284,3003826611,0398,1
2023,10496638,3003826611,0398,9
2023,10434284,3003826611,0402,0
2023,10017101,3003826611,0402,7
2023,10017101,3003826611,CV0004,8
2023,10420911,3003826611,CV0004,9
2023,10017101,3003826611,0399,8
2023,10428229,3003826611,0399,10
2023,10420911,3003826611,0403,0
2023,10364858,3003826611,0403,0
2023,10420911,3003826611,0399,4
2023,10306049,3003826611,0400,10
2023,10274804,3003826611,0400,9
2023,10248447,3003826611,0180,10
2023,10574372,3003826611,0180,7
2023,10574372,3003826611,0397,9
2023,10495929,3003826611,CV0004,9
2023,10432798,3003826611,CV0004,8
2023,10432798,3003826611,0399,10
2023,10432798,3003826611,0397,10
2023,10810890,3003826611,0398,9
2023,10810890,3003826611,0400,10
2023,13035483,3003826611,0397,10
2023,10514706,3003826611,0400,0
2023,10506767,3003826604,0401,0
2023,10698462,3003826604,CV0003,5
2023,10513851,3003826604,0179,5
2023,10718089,3003826604,0383,4
2023,10511432,3003826611,0402,8
2023,10420911,3003826611,0402,9
2023,10274804,3003826611,0402,7
2023,13055004,3003826611,0402,7
2023,11316431,3003826541,0174,0
2023,10495929,3003826611,0397,9
2023,10432798,3003826611,CV0004,8
2023,10507538,3003826611,CV0004,0
2023,10837523,3003826611,0398,4
2023,10842144,3003826611,0398,9
2023,13055004,3003826611,0397,9
2023,10803272,3003826604,0384,9
