anyo,nombre_modulo,codigo_modulo,codigo_curso,nombre_curso,ciclo,grado,familia
2025_26,Inglés profesional GS,0179,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Transporte internacional de mercancías,0622,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Formación y orientación laboral.,0829,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Logística de almacenamiento,0625,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Gestión económica y financiera de la empresa,0623,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Gestión administrativa del comercio internacional,0627,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Ofimática y proceso de la información en el comercio internacional,CV0008,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Gestión portuaria,CV0009,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Tutoría Primero,TU01CF,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Inglés profesional GS,0179,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Gestión económica y financiera de la empresa,0623,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Políticas de marketing,0930,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Marketing digital,0931,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Investigación comercial,1010,3306172240,Primero,MARKETING Y PUBLICIDAD,GRADO SUPERIOR,COMERCIO Y MARKETING
