anyo,nombre_cas,codigo,padre
2025,INTELIGENCIA ARTIFICIAL Y BIG DATA (LFP),3315198130,3306169527
2025,Primero CE,3315802123,3315195494
2025,COMERCIO INTERNACIONAL (LOE),3306172195,3306172129
2025,Segundo,3306172197,3306172195
2025,Primero,3306172205,3306172195
2025,MARKETING Y PUBLICIDAD,3306172238,3306172129
2025,Primero,3306172240,3306172238
2025,Segundo,3306172247,3306172238
2025,HOSTELERÍA Y TURISMO,3306172290, 
2025,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3306172438,3306172317
2025,Primero,3306172440,3306172438
2025,Segundo,3306172447,3306172438
2025,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3306172459,3306172317
2025,Primero,3306172461,3306172459
2025,Segundo,3306172468,3306172459
2025,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS (LFP),3306172480,3306172317
2025,Segundo,3306172482,3306172480
2025,Primero,3306172484,3306172480
2025,INFORMÁTICA Y COMUNICACIONES,3306169525, 
2025,CURSO ESPECIALIZACIÓN,3306169527,3306169525
2025,GRADO MEDIO,3306169587,3306169525
2025,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),3306169589,3306169587
2025,Segundo,3306169591,3306169589
2025,Primero,3306169593,3306169589
2025,SISTEMAS MICROINFORMÁTICOS Y REDES,3306169605,3306169587
2025,Primero,3306169607,3306169605
2025,Segundo,3306169614,3306169605
2025,GRADO SUPERIOR,3306169631,3306169525
2025,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),3306169633,3306169631
2025,Segundo,3306169635,3306169633
2025,Primero,3306169637,3306169633
2025,DESARROLLO DE APLICACIONES WEB (LFP),3306169649,3306169631
2025,Primero,3306169651,3306169649
2025,Segundo,3306169658,3306169649
2025,DESARROLLO DE APLICACIONES WEB,3306169665,3306169631
2025,Segundo,3306169667,3306169665
2025,Primero,3306169674,3306169665
2025,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3306169693,3306169631
2025,Primero,3306169695,3306169693
2025,Segundo,3306169702,3306169693
2025,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3306169714,3306169631
2025,ADMINISTRACIÓN Y GESTIÓN,3306173908, 
2025,GRADO MEDIO,3306173991,3306173908
2025,Primero,3306169723,3306169714
2025,Segundo,3306169730,3306169714
2025,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),3306169742,3306169631
