anyo,nombre_cas,codigo,curso
2024,Itinerario personal para la empleabilidad I,1709,3228410892
2024,"Proyecto intermodular 1 de Guía, información y asistencia turísticas",0388p,3228410892
2024,Tutoría Primero,TU01CF,3228410892
2024,Inglés profesional GS,0179,3228410892
2024,Estructura del mercado turístico,0171,3228410892
2024,Destinos turísticos ,0383,3228410892
2024,Recursos turísticos ,0384,3228410892
2024,Protocolo y relaciones públicas,0172,3228410892
2024,Marketing turístico,0173,3228410892
2024,Itinerario personal para la empleabilidad I,1709,3228413080
2024,Proyecto intermodular 1 de Administración de Sistemas Informáticos en Red,0379p,3228413080
2024,Tutoría Primero,TU01CF,3228413080
2024,Inglés profesional GS,0179,3228413080
2024,Planificación y Administración de Redes,0370,3228413080
2024,Lenguajes de marcas y sistemas de gestión de información,0373,3228413080
2024,Fundamentos de Hardware,0371,3228413080
2024,Gestión de Bases de Datos,0372,3228413080
2024,Implantación de Sistemas Operativos,0369,3228413080
2024,Itinerario personal para la empleabilidad I,1709,3228413382
2024,Proyecto intermodular 1 de Desarrollo de aplicaciones WEB,0616p,3228413382
2024,Tutoría Primero,TU01CF,3228413382
2024,Inglés profesional GS,0179,3228413382
2024,Lenguajes de marcas y sistemas de gestión de información,0373,3228413382
2024,Entornos de desarrollo,0487,3228413382
2024,Programación,0485,3228413382
2024,Bases de Datos,0484,3228413382
2024,Sistemas informáticos,0483,3228413382
2024,Itinerario personal para la empleabilidad I,1709,3228410357
2024,Proyecto intermodular 1 de Agencias de viajes,0400p,3228410357
2024,Tutoría Primero,TU01CF,3228410357
2024,Inglés profesional GS,0179,3228410357
2024,Estructura del mercado turístico,0171,3228410357
2024,Destinos turísticos ,0383,3228410357
2024,Recursos turísticos ,0384,3228410357
2024,Protocolo y relaciones públicas,0172,3228410357
2024,Marketing turístico,0173,3228410357
2024,Itinerario personal para la empleabilidad I,1709,3228379385
2024,Tutoría Primero,TU01CF,3228379385
2024,Comunicación empresarial y atención al cliente,0437,3228379385
2024,Técnica contable,0441,3228379385
2024,Empresa y administración,0439,3228379385
2024,Operaciones administrativa de compra-venta,0438,3228379385
2024,Tratamiento informático de la información ,0440,3228379385
2024,Inglés profesional GM,0156,3228379385
2024,Itinerario personal para la empleabilidad I,1709,3228381273
2024,Tutoría Primero,TU01CF,3228381273
2024,Inglés profesional GM,0156,3228381273
2024,Marketing en la actividad comercial,1226,3228381273
2024,Gestión de compras,1229,3228381273
2024,Dinamización del punto de venta,1231,3228381273
