anyo,alumno,curso,contenido,evaluacion,nota_numerica
2024_25,015e80b6f3742965f25043a15e02767edf4a1195540b219f94d9916d1aa2f180,3162075539,1374,FI,10
2024_25,015e80b6f3742965f25043a15e02767edf4a1195540b219f94d9916d1aa2f180,3162075539,1377,1,9
2024_25,015e80b6f3742965f25043a15e02767edf4a1195540b219f94d9916d1aa2f180,3162075539,1377,FI,9
2024_25,015e80b6f3742965f25043a15e02767edf4a1195540b219f94d9916d1aa2f180,3162075539,1378,FI,0
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1371,1,6
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1371,FI,7
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1372,1,4
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1372,FI,8
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1373,1,8
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1373,FI,8
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1374,1,9
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1374,FI,8
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,1378,FI,0
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,CV0004,1,7
2024_25,016fc1d16b2ca06fd6e5a16fe8c510fa3cb1534e02d987dfd4032920d67c8e88,3162075539,CV0004,FI,7
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1007,1,8
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1007,FI,9
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1009,1,9
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1009,FI,9
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1011,1,9
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1011,FI,9
2024_25,017af25779d1244652f25ddfbb47137b2f8023125d07aa4d95f2858a41c59643,3162077600,1013,FI,0
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1367,1,8
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1367,2,9
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1367,FI,8
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1369,1,8
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1369,2,9
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1369,FI,7
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1370,1,9
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1370,2,8
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1370,FI,8
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1375p,1,10
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1375p,2,9
2024_25,01e96e74b169d9aaab00add750e530fc0c693a31cc53d1072f52917694c87408,3228415772,1375p,FI,10
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0224,1,4
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0224,FI,7
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0226,1,6
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0226,FI,7
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0227,1,1
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0227,FI,7
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0228,1,9
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0228,FI,8
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0230,1,9
