anyo,alumno,curso,contenido,nota_numerica
2024,10025295,3228404816,0650,4
2024,10244048,3228404816,0648,8
2024,10025295,3228404816,0650,4
2024,10244048,3228404816,0650,8
2024,10414870,3228404816,0179,8
2024,10802285,3228404816,0650,6
2024,10802285,3228404816,0647,5
2024,10414870,3228404816,0649,9
2024,13075443,3228404816,0649,4
2024,10509186,3228404816,0649,9
2024,10025295,3228404816,0649,3
2024,12690668,3228404816,0657p,10
2024,12690668,3228404816,0651,7
2024,12690668,3228404816,0648,8
2024,13450442,3228404816,0651,0
2024,10711948,3228404816,0650,6
2024,10244048,3228404816,0648,8
2024,10509186,3228404816,0651,7
2024,10509186,3228404816,0648,9
2024,12332046,3228404816,0657p,8
2024,12332046,3228404816,0648,7
2024,12332046,3228404816,0648,7
2024,12332046,3228404816,0649,3
2024,10452196,3228404816,0651,9
2024,10742998,3228404816,0179,8
2024,10961892,3228404816,0650,8
2024,10906957,3228404816,0651,6
2024,10906957,3228404816,0648,6
2024,10906957,3228404816,0649,5
2024,10677373,3228404816,0650,7
2024,10350415,3228404816,0651,8
2024,10350415,3228404816,0650,7
2024,10024578,3228404816,0650,9
2024,13455127,3228404816,0648,9
2024,10780784,3228404816,0179,7
2024,10780784,3228404816,0650,8
2024,10824617,3228404816,0648,7
2024,10824617,3228404816,0648,8
2024,10840138,3228404816,0651,8
2024,10840138,3228404816,0650,4
2024,10840138,3228404816,0647,4
2024,10017455,3228404816,0657p,9
2024,10017455,3228404816,0657p,10
2024,10017455,3228404816,0650,10
2024,13035058,3228404816,0651,7
2024,13035058,3228404816,0649,3
2024,10377895,3228404816,0651,0
2024,10377895,3228404816,0648,0
2024,10661639,3228404816,0657p,10
2024,10661639,3228404816,0648,8
2024,10357636,3228404816,0651,6
2024,10357636,3228404816,0650,9
2024,10357636,3228404816,0649,6
2024,10991112,3228404816,0650,9
2024,10991112,3228404816,0648,8
2024,10991112,3228404816,0647,9
2024,10819112,3228404816,0179,8
2024,10819112,3228404816,0651,8
2024,10953575,3228404816,0649,4
2024,10381846,3228404816,0650,8
2024,10381846,3228404816,0649,7
2024,13456235,3228404816,0657p,0
2024,13456235,3228404816,0179,0
2024,10679695,3228404816,0179,9
2024,10679695,3228404816,0648,7
2024,10677900,3228404816,0650,7
2024,10677900,3228404816,0648,7
2024,13476760,3228404816,0650,2
2024,13064420,3228404816,0179,4
2024,13060964,3228404816,0179,0
2024,13060964,3228404816,0648,0
2024,12332046,3228404816,0179,5
2024,10961892,3228404816,0179,6
2024,10802285,3228404816,0649,6
2024,12690668,3228404816,0649,10
2024,13450442,3228404816,1709,0
2024,13450442,3228404816,0657p,0
2024,13455127,3228404816,0657p,10
2024,13035058,3228404816,0657p,4
2024,10953575,3228404816,0657p,8
2024,10256435,3228404816,0657p,0
2024,13450442,3228404816,0647,0
2024,10357636,3228404816,0647,6
2024,10953575,3228404816,0647,0
2024,13060964,3228404816,0647,0
2024,10509186,3228404816,0179,9
2024,10819112,3228404816,0179,8
2024,10953575,3228404816,0179,7
2024,13064420,3228404816,0179,6
2024,10256435,3228404816,0179,0
2024,10279441,3228404816,0179,9
2024,10452196,3228404816,0179,9
2024,10661639,3228404816,0179,8
2024,10279441,3228404816,0179,8
2024,10452196,3228404816,0650,8
2024,10350415,3228404816,0650,4
2024,10357636,3228404816,0650,7
2024,10953575,3228404816,0650,4
2024,10742998,3228404816,0651,8
2024,10906957,3228404816,0651,6
2024,10824617,3228404816,0651,7
2024,10906957,3228404816,0657p,7
2024,10677373,3228404816,0657p,0
2024,10024578,3228404816,0648,8
2024,10991112,3228404816,0648,9
2024,10677373,3228404816,0649,0
2024,10780784,3228404816,0657p,8
2024,10780784,3228404816,0649,7
2024,13476760,3228404816,0649,5
2024,13078687,3228404816,1709,8
2024,10679723,3228404816,0657p,8
2024,10824617,3228404816,0649,4
2024,10840138,3228404816,0657p,8
2024,10819112,3228404816,0647,8
2024,10381846,3228404816,0647,9
2024,10677900,3228404816,1709,6
2024,13476760,3228404816,0657p,0
2024,13476760,3228404816,0647,1
2024,13060964,3228404816,0651,0
2024,13060964,3228404816,0651,0
2024,13264942,3228404816,0657p,1
2024,13264942,3228404816,0648,4
2024,13264942,3228404816,0649,0
2024,10953290,3228404816,0651,8
2024,10953290,3228404816,0648,8
2024,10463434,3228404816,0651,2
2024,10463434,3228404816,0650,0
2024,10463434,3228404816,0648,0
2024,11254695,3228404816,0657p,0
2024,11254695,3228404816,0179,0
2024,11254695,3228404816,0648,0
2024,11664368,3228404816,0648,5
2024,11481642,3228404816,0657p,0
2024,11481642,3228404816,0650,0
2024,11889122,3228404816,0179,6
2024,11889122,3228404816,0651,7
2024,11889122,3228404816,0649,7
2024,11241112,3228404816,0179,7
2024,11241112,3228404816,0650,7
2024,11241112,3228404816,0648,8
2024,10819061,3228404816,0650,9
2024,10129831,3228404816,0179,4
2024,10789628,3228404816,0648,5
2024,10789628,3228404816,0649,6
2024,10783588,3228404816,0179,7
2024,10783588,3228404816,0648,9
2024,10783588,3228404816,0649,7
2024,13035060,3228404816,0179,8
2024,13035060,3228404816,0650,6
2024,13035179,3228404816,0650,9
2024,13035179,3228404816,0648,6
2024,13035179,3228404816,0647,8
2024,10615771,3228404816,1709,0
2024,10615771,3228404816,0657p,0
2024,10279441,3228404816,0649,9
2024,10677373,3228404816,0179,0
2024,10677373,3228404816,0647,0
2024,10780784,3228404816,0647,5
2024,13078687,3228404816,0648,9
2024,10953575,3228404816,0648,7
2024,11254695,3228404816,0648,0
2024,10321979,3228404816,0648,7
2024,13035058,3228404816,0647,7
2024,10381846,3228404816,0647,9
2024,10279441,3228404816,0647,8
2024,10463434,3228404816,0647,0
2024,11889122,3228404816,0647,6
2024,10129831,3228404816,0647,7
2024,10819112,3228404816,0657p,8
2024,11241112,3228404816,0657p,7
2024,10819112,3228404816,0649,9
2024,10953575,3228404816,0649,7
2024,11254695,3228404816,0649,0
2024,10953575,3228404816,0649,6
2024,13035179,3228404816,0649,6
2024,13456235,3228404816,1709,0
2024,11481642,3228404816,1709,0
2024,13476760,3228404816,0651,0
2024,13064420,3228404816,0650,7
2024,10256435,3228404816,0650,4
2024,11481642,3228404816,0650,0
2024,13035179,3228404816,0650,7
2024,10953290,3228404816,0651,8
2024,13035060,3228404816,0651,6
2024,10463434,3228404816,0657p,0
2024,10463434,3228404816,0647,0
2024,11254695,3228404816,0647,0
2024,11481642,3228404816,0179,0
