anyo,nombre_modulo,codigo_modulo,codigo_curso,nombre_curso,ciclo,grado,familia
2024_25,Itinerario personal para la empleabilidad I,1709,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,"Proyecto intermodular 1 de Guía, información y asistencia turísticas",0388p,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Tutoría Primero,TU01CF,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Inglés profesional GS,0179,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Estructura del mercado turístico,0171,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Destinos turísticos,0383,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Recursos turísticos,0384,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Protocolo y relaciones públicas,0172,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Marketing turístico,0173,3228410892,Primero,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Itinerario personal para la empleabilidad I,1709,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Proyecto intermodular 1 de Administración de Sistemas Informáticos en Red,0379p,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Tutoría Primero,TU01CF,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Inglés profesional GS,0179,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Planificación y Administración de Redes,0370,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Lenguajes de marcas y sistemas de gestión de información,0373,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Fundamentos de Hardware,0371,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Gestión de Bases de Datos,0372,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Implantación de Sistemas Operativos,0369,3228413080,Primero,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Itinerario personal para la empleabilidad I,1709,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Proyecto intermodular 1 de Desarrollo de aplicaciones WEB,0616p,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Tutoría Primero,TU01CF,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Inglés profesional GS,0179,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Lenguajes de marcas y sistemas de gestión de información,0373,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Entornos de desarrollo,0487,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Programación,0485,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Bases de Datos,0484,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Sistemas informáticos,0483,3228413382,Primero,DESARROLLO DE APLICACIONES WEB (LFP),GRADO SUPERIOR,INFORMÁTICA Y COMUNICACIONES
2024_25,Itinerario personal para la empleabilidad I,1709,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Proyecto intermodular 1 de Agencias de viajes,0400p,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Tutoría Primero,TU01CF,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Inglés profesional GS,0179,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Estructura del mercado turístico,0171,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Destinos turísticos,0383,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Recursos turísticos,0384,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Protocolo y relaciones públicas,0172,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Marketing turístico,0173,3228410357,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2024_25,Itinerario personal para la empleabilidad I,1709,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Tutoría Primero,TU01CF,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Comunicación empresarial y atención al cliente,0437,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Técnica contable,0441,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Empresa y administración,0439,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Operaciones administrativa de compra-venta,0438,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Tratamiento informático de la información,0440,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Inglés profesional GM,0156,3228379385,Primero,GESTIÓN ADMINISTRATIVA (LFP),GRADO MEDIO,ADMINISTRACIÓN Y GESTIÓN
2024_25,Itinerario personal para la empleabilidad I,1709,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Tutoría Primero,TU01CF,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Inglés profesional GM,0156,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Marketing en la actividad comercial,1226,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Gestión de compras,1229,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Dinamización del punto de venta,1231,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Procesos de venta,1232,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Aplicaciones informáticas para el comercio,1233,3228381273,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2024_25,Itinerario personal para la empleabilidad I,1709,3228406545,Primero,COMERCIO INTERNACIONAL (LFP),GRADO SUPERIOR,COMERCIO Y MARKETING
2024_25,Proyecto intermodular 1 de Comercio internacional,0828p,3228406545,Primero,COMERCIO INTERNACIONAL (LFP),GRADO SUPERIOR,COMERCIO Y MARKETING
2024_25,Tutoría Primero,TU01CF,3228406545,Primero,COMERCIO INTERNACIONAL (LFP),GRADO SUPERIOR,COMERCIO Y MARKETING
2024_25,Inglés profesional GS,0179,3228406545,Primero,COMERCIO INTERNACIONAL (LFP),GRADO SUPERIOR,COMERCIO Y MARKETING
2024_25,Transporte internacional de mercancías,0622,3228406545,Primero,COMERCIO INTERNACIONAL (LFP),GRADO SUPERIOR,COMERCIO Y MARKETING
2024_25,Logística de almacenamiento,0625,3228406545,Primero,COMERCIO INTERNACIONAL (LFP),GRADO SUPERIOR,COMERCIO Y MARKETING
