anyo,alumno,curso,contenido,nota_numerica
2025,10706065,3306170521,028502,0
2025,10706065,3306170521,028100,0
2025,10762395,3306170521,028502,4
2025,11000348,3306170521,028502,4
2025,11116523,3306170521,028100,4
2025,13615979,3306170619,0179,6
2025,11802023,3306170521,028505,7
2025,10932027,3306170521,028505,3
2025,12237928,3306170521,028501,3
2025,10795396,3306170521,028501,6
2025,10964248,3306170521,028501,0
2025,10914786,3306170521,028501,8
2025,11128032,3306170521,028501,9
2025,13377168,3306170521,028100,1
2025,13598561,3306170521,028100,9
2025,12691602,3306170521,028100,7
2025,11106423,3306170521,028503,7
2025,11512589,3306170521,028504,9
2025,10839018,3306170521,028504,5
2025,12379379,3306170521,028504,7
2025,12623376,3306170521,028504,9
2025,10914786,3306170521,028001,7
2025,11014535,3306170521,028001,8
2025,11030604,3306170521,028001,8
2025,13598449,3306170521,028502,8
2025,13598555,3306170521,028502,4
2025,12623376,3306170521,028505,8
2025,11014535,3306170521,028505,8
2025,13518965,3306170521,028504,0
2025,12051056,3306170521,028505,8
2025,12795258,3306170521,028505,8
2025,13446969,3306170521,028505,8
2025,12451319,3306170521,028503,8
2025,12649264,3306170619,1370,4
2025,10920136,3306170619,1370,4
2025,10914452,3306170619,1370,7
2025,11082700,3306170619,1367,8
2025,10889150,3306170619,0179,9
2025,11312003,3306170619,0179,9
2025,10301015,3306170619,0179,4
2025,10892991,3306170619,0179,8
2025,10916992,3306170619,0179,4
2025,10769318,3306170619,1367,4
2025,10301015,3306170619,1367,7
2025,10786265,3306170619,1367,7
2025,13595058,3306170619,1367,7
2025,13594581,3306170619,1369,6
2025,11620907,3306170619,1369,7
2025,10884022,3306170619,1709,9
2025,10884022,3306170619,0179,10
2025,10909929,3306170619,0179,8
2025,10884022,3306170619,1368,9
2025,10784831,3306170619,1368,3
2025,10714135,3306170619,1368,4
2025,10735252,3306170619,1368,6
2025,10706077,3306170619,1370,6
2025,10784831,3306170619,1375p,0
2025,11337604,3306170619,1375p,10
2025,10911185,3306170619,1370,8
2025,13615979,3306170619,1370,4
2025,13598749,3306170619,1369,4
2025,10659496,3306170619,1375p,10
2025,12413993,3306172484,0171,1
2025,13551232,3306172484,0181p,0
2025,12561340,3306172484,0172,3
2025,10843015,3306172484,0172,9
2025,13593119,3306172484,0172,8
2025,13598131,3306172484,1709,0
2025,13598131,3306172484,0173,0
2025,13593122,3306172484,0172,9
2025,10843015,3306172484,0179,5
2025,10581374,3306172484,0177,10
2025,10895710,3306172332,0384,7
2025,13460187,3306172332,0400p,0
2025,10801931,3306172484,0174,4
2025,10843015,3306172484,0174,4
2025,13445476,3306172332,0179,6
2025,11515797,3306172332,0173,8
2025,10902331,3306172403,0171,9
2025,10892142,3306172403,0171,9
2025,10025712,3306172403,0179,8
2025,10892142,3306172403,0179,6
2025,10652392,3306172403,0179,0
2025,11702324,3306172403,0388p,7
2025,10790903,3306172403,0388p,8
2025,11702324,3306172403,0172,7
2025,10790903,3306172403,0172,9
2025,12813996,3306172403,0173,0
2025,10790903,3306172403,0173,8
2025,13604001,3306172403,0383,4
2025,10654915,3306172053,1231,0
2025,11120345,3306172053,1231,3
2025,11001838,3306172053,0156,0
2025,10996182,3306172053,1233,6
2025,11120345,3306172053,1232,3
2025,11036037,3306172053,1232,3
2025,11433993,3306172053,1232,0
2025,11114298,3306172053,1709,6
2025,11433993,3306172053,1709,7
2025,10866312,3306172167,1010,4
2025,10894622,3306172167,1010,8
2025,12561661,3306172167,1010,4
2025,10883924,3306172167,1010,7
2025,13598677,3306172167,0179,0
2025,13598103,3306172167,0179,0
2025,10197921,3306172167,0623,0
2025,10436333,3306172167,0623,2
2025,10526778,3306172167,0623,9
2025,10250031,3306172167,1012p,9
2025,10932819,3306172167,1010,0
2025,10315581,3306172167,1010,0
2025,10730207,3306172167,1010,6
2025,10526778,3306172167,1010,7
2025,10883675,3306172167,1012p,9
2025,10730721,3306172167,0930,7
2025,10835229,3306172167,0930,2
2025,10487345,3306172167,0930,4
2025,12500676,3306172167,0623,5
2025,10742412,3306172167,0179,4
2025,12152515,3306172167,0179,10
2025,10932250,3306172167,0179,7
2025,12557620,3306172167,0931,9
2025,11313275,3306172167,0931,9
2025,10416632,3306172167,0931,8
2025,10893829,3306172167,0930,7
2025,10961331,3306172135,0622,8
2025,13593226,3306172135,0622,4
2025,10885568,3306172135,0622,6
2025,10884465,3306172135,0622,6
2025,10761942,3306172135,0627,6
2025,11744036,3306172135,0627,8
2025,13593226,3306172135,0627,3
2025,11744036,3306172135,0828p,7
2025,13593226,3306172135,0828p,7
2025,10027352,3306172135,0828p,6
2025,11709509,3306172135,0623,8
2025,10762386,3306172135,0623,3
2025,10885568,3306172135,0623,7
2025,10027352,3306172135,0623,8
2025,12722909,3306172135,0179,9
2025,10687998,3306169433,243264,7
2025,10680218,3306169433,243266,9
2025,10837040,3306169433,243266,0
2025,10366184,3306169433,243267,0
2025,10645924,3306169433,243265,4
2025,13448029,3306169440,243602,8
2025,13467527,3306169440,243604,6
2025,13447274,3306169440,243271,9
2025,10925591,3306173997,1709,5
2025,13594604,3306173997,0438,9
2025,12257970,3306173997,0438,7
2025,11109924,3306173997,1709,9
2025,10270606,3306169593,0156,9
2025,10679709,3306174046,1665001,7
2025,10711948,3306174046,1665001,7
2025,11388211,3306172133,CVOPT,7
2025,12406107,3306173997,1709,6
2025,13626945,3306173997,1709,8
2025,10847700,3306173997,1709,8
2025,10730721,3306172167,1709,8
2025,10730207,3306172167,1012p,8
2025,10214849,3306172167,0931,0
2025,11029676,3306173997,0156,10
2025,10899529,3306173997,0156,7
2025,11138087,3306173997,0156,8
2025,11168289,3306173997,0156,5
2025,11336870,3306173997,0441,9
2025,11347134,3306173997,0156,4
2025,10421015,3306173997,0156,0
2025,10747126,3306173997,0441,10
2025,10931052,3306173997,0441,9
2025,13134429,3306173997,0438,7
2025,10633944,3306173997,0439,7
2025,10352292,3306173997,0439,0
2025,12647763,3306173997,0437,0
2025,10352292,3306173997,0437,0
2025,11041555,3306173997,0438,7
2025,11041555,3306173997,0440,7
2025,13510854,3306174048,0650,9
2025,13593239,3306174048,0650,4
2025,13597020,3306174048,0648,0
2025,12859504,3306174048,0647,8
2025,10926432,3306174048,0647,8
2025,13597527,3306174048,0647,4
2025,12788547,3306174048,0647,6
2025,11802825,3306174048,0651,6
2025,13455395,3306174048,0651,6
2025,11664368,3306174048,0651,6
2025,10243668,3306174048,0649,7
2025,10730016,3306174048,1709,0
2025,10730016,3306174048,0649,2
2025,12788547,3306174048,0649,6
2025,10840996,3306174048,0657p,8
2025,10793462,3306174048,0657p,8
2025,10904320,3306174048,0657p,7
2025,13596949,3306174048,0651,0
2025,10662076,3306174048,0657p,7
2025,13298754,3306174048,0657p,0
2025,10511438,3306174048,0657p,0
2025,10991644,3306174048,0657p,7
2025,10707710,3306174048,0648,8
2025,10904320,3306174048,0648,6
2025,10025322,3306174048,1709,0
2025,11552430,3306174048,0651,6
2025,13597527,3306174048,0648,4
2025,13542655,3306174048,0179,10
2025,13542655,3306174048,0649,9
2025,10511438,3306174048,0179,0
2025,10840806,3306174048,0179,7
2025,10924358,3306174048,0179,4
2025,10762396,3306174048,1709,9
2025,10709630,3306174048,1709,8
2025,10779855,3306174048,0179,8
2025,10928705,3306169744,0179,9
2025,10896459,3306169744,0179,9
2025,10921245,3306169744,0370,8
2025,10900148,3306169744,0379p,10
2025,10912321,3306169744,0379p,9
2025,11226702,3306169744,0371,8
