anyo,codigo,nombre_cas,curso
2023_24,TU01CF,Tutoría Primero,3003829510
2023_24,028502,Técnicas básicas de enfermería,3003829510
2023_24,028504,Promoción de la salud y apoyo psicológico al paciente,3003829510
2023_24,028505,Técnicas de ayuda odontológica/estomatológica,3003829510
2023_24,028001,Formación y orientación laboral,3003829510
2023_24,028503,Higiene del medio hospitalario y limpieza de material,3003829510
2023_24,028501,Operaciones administrativas y documentación sanitaria,3003829510
2023_24,028100,Relaciones en el equipo de trabajo,3003829510
2023_24,TU02CF,Tutoría Segundo,3003829517
2023_24,028601,Formación en Centros de Trabajo,3003829517
2023_24,TU01CF,Tutoría Primero,3003829629
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003829629
2023_24,1370,Fisiopatología general,3003829629
2023_24,1367,Gestión de muestras biológicas,3003829629
2023_24,1368,Técnicas generales de laboratorio,3003829629
2023_24,1369,Biología molecular y citogenética,3003829629
2023_24,1376,Formación y orientación laboral,3003829629
2023_24,TU02CF,Tutoría Segundo,3003829636
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003829636
2023_24,1375,Proyecto de laboratorio clínico y biomédico,3003829636
2023_24,1378,Formación en centros de trabajo,3003829636
2023_24,1371,Análisis bioquímico,3003829636
2023_24,1372,Técnicas de inmunodiagnóstico,3003829636
2023_24,1373,Microbiología clínica,3003829636
2023_24,1374,Técnicas de análisis hematológico,3003829636
2023_24,1377,Empresa e iniciativa emprendedora,3003829636
2023_24,TU01CF,Tutoría Primero,3003826541
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003826541
2023_24,0179,Inglés,3003826541
2023_24,0171,Estructura del mercado turístico,3003826541
2023_24,0172,Protocolo y relaciones públicas,3003826541
2023_24,0173,Marketing turístico,3003826541
2023_24,0174,Dirección de alojamientos turístico,3003826541
2023_24,0182,Formación y orientación laboral,3003826541
2023_24,0177,Recursos humanos en el alojamiento,3003826541
2023_24,TU02CF,Tutoría Segundo,3003826548
